,category,num_Assay_Obs
387,hasCE_AGE_yrBIN_6_item_5225,1255
388,hasCE_AGE_yrBIN_6_item_5059,261
389,hasCE_AGE_yrBIN_6_item_5224,1259
390,hasCE_AGE_yrBIN_6_item_5248,1255
391,hasCE_AGE_yrBIN_6_item_5238,265
392,hasCE_AGE_yrBIN_6_item_5215,1260
393,hasCE_AGE_yrBIN_6_item_5235,1259
394,hasCE_AGE_yrBIN_6_item_5236,265
395,hasCE_AGE_yrBIN_6_item_5245,79
396,hasCE_AGE_yrBIN_6_item_5114,1014
397,hasCE_AGE_yrBIN_6_item_5099,1018
398,hasCE_AGE_yrBIN_6_item_5257,1255
399,hasCE_AGE_yrBIN_6_item_5113,1014
400,hasCE_AGE_yrBIN_6_item_5115,1014
401,hasCE_AGE_yrBIN_6_item_5132,1018
402,hasCE_AGE_yrBIN_6_item_6316,844
403,hasCE_AGE_yrBIN_6_item_5094,844
404,hasCE_AGE_yrBIN_6_item_5511,1
405,hasCE_AGE_yrBIN_6_item_5129,1018
406,hasCE_AGE_yrBIN_6_item_5141,1018
407,hasCE_AGE_yrBIN_6_item_5024,319
408,hasCE_AGE_yrBIN_6_item_5120,902
409,hasCE_AGE_yrBIN_6_item_5136,1013
410,hasCE_AGE_yrBIN_6_item_5075,319
411,hasCE_AGE_yrBIN_6_item_5002,931
412,hasCE_AGE_yrBIN_6_item_5078,326
413,hasCE_AGE_yrBIN_6_item_5025,321
414,hasCE_AGE_yrBIN_6_item_5492,932
415,hasCE_AGE_yrBIN_6_item_5626,649
416,hasCE_AGE_yrBIN_6_item_5821,347
417,hasCE_AGE_yrBIN_6_item_5038,318
418,hasCE_AGE_yrBIN_6_item_5227,1226
419,hasCE_AGE_yrBIN_6_item_5174,491
420,hasCE_AGE_yrBIN_6_item_5186,492
421,hasCE_AGE_yrBIN_6_item_5161,470
422,hasCE_AGE_yrBIN_6_item_6165,18
423,hasCE_AGE_yrBIN_6_item_6183,0
424,hasCE_AGE_yrBIN_6_item_6095,0
425,hasCE_AGE_yrBIN_6_item_6193,19
426,hasCE_AGE_yrBIN_6_item_6393,21
427,hasCE_AGE_yrBIN_6_item_6392,21
428,hasCE_AGE_yrBIN_6_item_6396,21
429,hasCE_AGE_yrBIN_6_item_6395,21
430,hasCE_AGE_yrBIN_6_item_6394,21
431,hasCE_AGE_yrBIN_6_item_6397,21
432,hasCE_AGE_yrBIN_6_item_6398,21
433,hasCE_AGE_yrBIN_6_item_6400,21
434,hasCE_AGE_yrBIN_6_item_6401,21
435,hasCE_AGE_yrBIN_6_item_6406,21
436,hasCE_AGE_yrBIN_6_item_6403,21
437,hasCE_AGE_yrBIN_6_item_6352,0
438,hasCE_AGE_yrBIN_6_item_6349,21
439,hasCE_AGE_yrBIN_6_item_6348,21
440,hasCE_AGE_yrBIN_6_item_6334,42
441,hasCE_AGE_yrBIN_6_item_5832,29
442,hasCE_AGE_yrBIN_6_item_6098,29
443,hasCE_AGE_yrBIN_6_item_6340,21
444,hasCE_AGE_yrBIN_6_item_6338,21
445,hasCE_AGE_yrBIN_6_item_5047,40
446,hasCE_AGE_yrBIN_6_item_6342,21
447,hasCE_AGE_yrBIN_6_item_6343,21
448,hasCE_AGE_yrBIN_6_item_6344,21
449,hasCE_AGE_yrBIN_6_item_6345,21
450,hasCE_AGE_yrBIN_6_item_6419,21
451,hasCE_AGE_yrBIN_6_item_6346,21
452,hasCE_AGE_yrBIN_6_item_6347,21
453,hasCE_AGE_yrBIN_6_item_6066,50
454,hasCE_AGE_yrBIN_6_item_6624,50
455,hasCE_AGE_yrBIN_6_item_6626,50
456,hasCE_AGE_yrBIN_7_item_5230,877
